movie1	movie2	class
Captain America: The Winter Soldier	Welcome to Collinwood	director in common
Shrek Forever After	Alvin and the Chipmunks: Chipwrecked	director in common
Shrek Forever After	Sky High	director in common
Shrek Forever After	Deuce Bigalow: Male Gigolo	director in common
Tomorrowland	Ratatouille	director in common
Tomorrowland	Mission: Impossible - Ghost Protocol	director in common
Tomorrowland	The Incredibles	director in common
Tomorrowland	The Iron Giant	director in common
The Polar Express	Beowulf	director in common
The Polar Express	What Lies Beneath	director in common
The Polar Express	Contact	director in common
The Polar Express	Cast Away	director in common
The Polar Express	Forrest Gump	director in common
The Polar Express	Death Becomes Her	director in common
The Polar Express	Back to the Future Part II	director in common
The Polar Express	Back to the Future Part III	director in common
The Polar Express	The Walk	director in common
The Polar Express	Flight	director in common
The Polar Express	Back to the Future	director in common
Independence Day: Resurgence	White House Down	director in common
Independence Day: Resurgence	The Day After Tomorrow	director in common
Independence Day: Resurgence	The Patriot	director in common
Independence Day: Resurgence	Independence Day	director in common
Independence Day: Resurgence	Anonymous	director in common
Independence Day: Resurgence	Stonewall	director in common
How to Train Your Dragon	How to Train Your Dragon 2	director and 2 actors in common
How to Train Your Dragon	Lilo & Stitch	director in common
Terminator 3: Rise of the Machines	Surrogates	director in common
Terminator 3: Rise of the Machines	U-571	director in common
Terminator 3: Rise of the Machines	Breakdown	director in common
Guardians of the Galaxy	Slither	director in common
Guardians of the Galaxy	Super	director in common
Interstellar	Inception	director in common
Interstellar	Batman Begins	director in common
Interstellar	Insomnia	director in common
Interstellar	The Prestige	director in common
Interstellar	Memento	director in common
Inception	Batman Begins	director in common
Inception	The Revenant	 2 actors in common
Inception	Insomnia	director in common
Inception	The Prestige	director in common
Inception	Memento	director in common
The Hobbit: An Unexpected Journey	The Lord of the Rings: The Fellowship of the Ring	director in common
The Hobbit: An Unexpected Journey	The Lovely Bones	director in common
The Hobbit: An Unexpected Journey	The Lord of the Rings: The Return of the King	director in common
The Hobbit: An Unexpected Journey	The Lord of the Rings: The Two Towers	director in common
The Hobbit: An Unexpected Journey	Heavenly Creatures	director in common
The Fast and the Furious	Stealth	director in common
The Fast and the Furious	Fast Five	 2 actors in common
The Fast and the Furious	Daylight	director in common
The Fast and the Furious	xXx	director in common
The Fast and the Furious	DragonHeart	director in common
The Fast and the Furious	Alex Cross	director in common
The Fast and the Furious	The Skulls	director in common
The Fast and the Furious	The Boy Next Door	director in common
The Curious Case of Benjamin Button	The Girl with the Dragon Tattoo	director in common
The Curious Case of Benjamin Button	Zodiac	director in common
The Curious Case of Benjamin Button	Fight Club	director in common
The Curious Case of Benjamin Button	Gone Girl	director in common
The Curious Case of Benjamin Button	Alien 3	director in common
The Curious Case of Benjamin Button	The Game	director in common
